Title,MRP,Discount_price,Discount in percentage
HOMETALES Insulated Double Walled Tea Cup  Inner Stainless Steel & Outer Plastic body  180 ml each ( Pack of 2 ),699,279,
bartan hub - Steel Single Walled Tea Cup 150 ml ( Pack of 6 ),999,299,
Dynore Steel 4 apple cup Coffee Cup 4 Pcs 90 ml each ml,875,299,
HOMETALES Stainless Steel Double Walled Coffee Mug  150ml each (2U),599,359,
HOMETALES - Coffee Steel Travel Mug ( Pack of 2 ),999,295,
Idream Quote Printed Ceramic Coffee Mug 1 Pcs 330 mL,499,239,
Somil Glass Tea Cup  Transparent  Pack Of 6  100 ml,"2,800",725,
KC - Silver Steel Tea Cup ( Pack of 6 ),699,309,
TREO Ceramic Glare Mug - Set of 2  Purple  240ml,375,244,
Treo By Milton Cascade Cool Mug Set of 2  292 ml,175,175,
Somil Glass Tea Cup  Transparent  Pack Of 6  80 ml,"2,543",649,
HOMETALES - Terra-cotta finish Kulhad Tea Cup  180ml each (Pack of 6),699,399,
OFFYX - Purple Steel Coffee Mug ( Pack of 2 ),"1,199",329,
Dynore - Steel Double Walled Tea Set 90 ml ( Pack of 4 ),"1,000",279,
Mosaic Zodaic Mug Aquarius Steel Coffee Mug 1 Pcs 200 mL,450,339,
HOMETALES - Yellow Smiley Ceramic Tea Cup  130ml each (Pack of 6),899,479,
KraftMania Ceramic Tea Cup 12 Pcs,"1,399",799,
HOMETALES Stainless Steel Tea Kettle  800ml,999,473,
Milton Bistro 600 Thermosteel Carafe  490 ml  Blue,"1,090",829,
Dynore Tea/Coffee Kettle Steel Kettle 800 ml,"1,999",699,
Milton Thermosteel Carafe 24 Hours Hot or Cold Tea/Coffee Pot  1000 ml  Silver,"1,635","1,243",
Pexpo 600ml 24 Hrs Hot and Cold Carafe  Cosmo Vacuum Insulated Tea/Coffe Kattle (Pack of 1  Silver),"1,249",809,
Milton Bistro 600 Thermosteel Carafe  490 ml  Brown,"1,090",829,
Milton Bistro 800 Thermosteel Carafe  780 ml  Black,"1,210",920,
Milton Bistro 800 Thermosteel Carafe  780 ml  Brown,"1,210",920,
Milton Bistro 800 Thermosteel Carafe  780 ml  Blue,"1,210",920,
Pexpo 1000ml 24 Hrs Hot and Cold Carafe  Cosmo Vacuum Insulated Tea/Coffe Kattle (Pack of 1  Blue),"1,499",975,
Treo By Milton Borosilicate Carafe Slant  500 ml | Microwave Safe | Flame Safe | Food Safe | Light Weight | Tea Carafe | Water Carafe,425,425,
Milton Thermosteel Carafe 24 Hours Hot or Cold Tea/Coffee Pot  2000 ml  Silver,"2,240","1,702",
Milton Bistro 600 Thermosteel Carafe  490 ml  Black,"1,090",829,
Pexpo 2000ml 24 Hrs Hot and Cold Carafe  Cosmo Vacuum Insulated Tea/Coffe Kattle (Pack of 1  Red),"1,999","1,299",
Milton Thermosteel Carafe 24 Hours Hot or Cold Tea/Coffee Pot  1500 ml  Silver,"1,910","1,452",
Milton Carafe 600 Thermosteel Hot or Cold Flask  600 ml  Silver,"1,305",992,
Pexpo 2000ml 24 Hrs Hot and Cold Carafe  Cosmo Vacuum Insulated Tea/Coffe Kattle (Pack of 1  Blue),"1,999","1,299",
Pexpo 1500ml 24 Hrs Hot and Cold Carafe  Cosmo Vacuum Insulated Tea/Coffe Kattle (Pack of 1  Blue),"1,749","1,135",
Pexpo 1000ml 24 Hrs Hot and Cold Carafe  Cosmo Vacuum Insulated Tea/Coffe Kattle (Pack of 1  Red),"1,499",975,
Pexpo 600ml 24 Hrs Hot and Cold Carafe  Cosmo Vacuum Insulated Tea/Coffe Kattle (Pack of 1  Blue),"1,249",809,
